stage,label,direction,lane_mask,requested_useful_bytes,encoded_transfer_bytes,sender_role,elapsed_ticks,timer_frequency_hz,elapsed_seconds,reported_legacy_bps,recomputed_encoded_ps_command_bps,recomputed_useful_ps_command_bps,measurement_class,diagnostic_only,eligible_for_scaling,source_path,source_sha256
P10-J,soak_00103_65536_d1,R_TO_F,3,65536,65536,rotating,150627143,333333343,0.45188141589543895,1160233.595712454,1160233.595712454,1160233.595712454,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00104_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2404458757,333333343,7.213376061812094,1162923.9801331905,1162923.9801331905,1162923.9801331905,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00105_4096_d1,R_TO_F,3,4096,4096,rotating,9801078,333333343,0.029403233147306237,1114435.2675719957,1114435.2675719957,1114435.2675719957,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00106_65536_d0,F_TO_R,3,65536,65536,fixed,150645573,333333343,0.45193670589383556,1160091.652575705,1160091.652575705,1160091.652575705,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00107_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2405146678,333333343,7.215439824752245,1162591.3601584276,1162591.3601584276,1162591.3601584276,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00108_4096_d0,F_TO_R,3,4096,4096,fixed,9801421,333333343,0.029404262147276396,1114396.2679925696,1114396.2679925696,1114396.2679925696,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00109_65536_d1,R_TO_F,3,65536,65536,rotating,150644741,333333343,0.4519342098939079,1160098.059677928,1160098.059677928,1160098.059677928,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00110_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2404219877,333333343,7.212659421832877,1163039.5266699411,1163039.5266699411,1163039.5266699411,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00111_4096_d1,R_TO_F,3,4096,4096,rotating,9797041,333333343,0.029391122147657458,1114894.4853271514,1114894.4853271514,1114894.4853271514,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00112_65536_d0,F_TO_R,3,65536,65536,fixed,150652103,333333343,0.4519562958932674,1160041.3685216461,1160041.3685216461,1160041.3685216461,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
