ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,711930.4762814748,8,4000000,4000000,1,0,205749,693,247,20480,320,711930.4762814748,60102,lane0_d0_r2_zero,1,0.0027755519195089944,334494,239855,0.0027770189194664513,711930.4762814748,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708987.8041557592,8,4000000,4000000,1,0,205792,699,247,20480,320,708987.8041557592,59236,lane0_d0_r2_one,1,0.0027870719191749145,339087,239921,0.0027885389191323715,708987.8041557592,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,703976.7407317155,8,4000000,4000000,1,0,205769,684,247,20480,320,703976.7407317155,60550,lane0_d0_r2_increment,1,0.0028069109185995833,344454,239876,0.0028083779185570402,703976.7407317155,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,699422.0060611853,8,4000000,4000000,1,0,205768,689,247,20480,320,699422.0060611853,60224,lane0_d0_r2_binary,1,0.0028251899180694925,350848,239875,0.0028266599180268625,699422.0060611853,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,868396.1484346681,8,4000000,4000000,100,0,33039656,21799452,24700,20480,320,868396.1484346681,5932374,lane0_d0_r2_100f,1,0.22754591940116833,36513132,33073776,0.22754738340112587,868396.1484346681,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,872188.1940387283,8,4000000,4000000,10000,0,3316571956,3305331697,2470000,20480,320,872188.1940387283,587747405,lane0_d0_r2_10000f,1,22.655660939985832,3643621294,3316606083,22.65566245198579,872188.1940387283,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
1,1,131136.79586919106,32,1000000,1000000,1,1,171755,706,31,20480,320,131136.79586919106,12633,lane0_d1_r0_fixed_short,1,0.0018911549451565066,70817,256623,0.0018926189451140506,131136.79586919106,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421066.73018978053,32,1000000,1000000,1,1,751539,714,247,20480,320,421066.73018978053,60532,lane0_d1_r0_prbs,1,0.004692842863907557,376613,836375,0.004694309863865014,421066.73018978053,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432921.216294751,32,1000000,1000000,1,1,751588,694,247,20480,320,432921.216294751,59850,lane0_d1_r0_zero,1,0.004564340867634115,334364,836454,0.004565804867591659,432921.216294751,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432070.6762002096,32,1000000,1000000,1,1,751558,715,247,20480,320,432070.6762002096,58820,lane0_d1_r0_one,1,0.00457332586737355,338457,836409,0.004574789867331094,432070.6762002096,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,429701.80029044015,32,1000000,1000000,1,1,751539,720,247,20480,320,429701.80029044015,60574,lane0_d1_r0_increment,1,0.004598537866642402,345162,836383,0.004600007866599772,429701.80029044015,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,428232.58865161997,32,1000000,1000000,1,1,751530,690,247,20480,320,428232.58865161997,59030,lane0_d1_r0_binary,1,0.004614314866184869,351874,836381,0.004615781866142326,428232.58865161997,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,482929.53919263073,32,1000000,1000000,100,1,93596132,61786289,24700,20480,320,482929.53919263073,5893392,lane0_d1_r0_100f,1,0.4091694211340868,36502937,93664067,0.4091708851340443,482929.53919263073,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,483586.5997715498,32,1000000,1000000,10000,1,9376533422,9344740722,2470000,20480,320,483586.5997715498,593982489,lane0_d1_r0_10000f,1,40.86134729402093,3645936289,9376618294,40.861348806020885,483586.5997715498,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156278.55845132994,16,2000000,2000000,1,1,86423,698,31,20480,320,156278.55845132994,12619,lane0_d1_r1_fixed_short,1,0.0015869099539796113,71661,154351,0.0015883739539371553,156278.55845132994,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562223.4392265216,16,2000000,2000000,1,1,393395,688,247,20480,320,562223.4392265216,59535,lane0_d1_r1_prbs,1,0.00351461689807611,376844,444402,0.003516083898033567,562223.4392265216,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582250.396924445,16,2000000,2000000,1,1,393384,684,247,20480,320,582250.396924445,60146,lane0_d1_r1_zero,1,0.003393728901581862,335901,444410,0.003395195901539319,582250.396924445,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,580790.2619181774,16,2000000,2000000,1,1,393436,692,247,20480,320,580790.2619181774,60101,lane0_d1_r1_one,1,0.003402260901334434,338731,444455,0.003403724901291978,580790.2619181774,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,577620.2156850193,16,2000000,2000000,1,1,393451,729,247,20480,320,577620.2156850193,60554,lane0_d1_r1_increment,1,0.0034209329007929457,344514,444463,0.003422402900750316,577620.2156850193,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574415.4486658359,16,2000000,2000000,1,1,393402,720,247,20480,320,574415.4486658359,59526,lane0_d1_r1_binary,1,0.003440018900239452,351927,444428,0.003441482900196996,574415.4486658359,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,686266.727691614,16,2000000,2000000,100,1,53219320,35122596,24700,20480,320,686266.727691614,5886129,lane0_d1_r1_100f,1,0.2879346936498939,36492314,53270355,0.28793616064985134,686266.727691614,1,15,0,100,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,687513.8722938811,16,2000000,2000000,10000,1,5336558223,5318461506,2470000,20480,320,687513.8722938811,593947676,lane0_d1_r1_10000f,1,28.741238244504093,3645943691,5336609282,28.741239756504047,687513.8722938811,1,15,0,10000,0,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179571.95780638378,8,4000000,4000000,1,1,52340,711,31,20480,320,179571.95780638378,12690,lane0_d1_r2_fixed_short,1,0.001381061959949203,70845,86443,0.001382525959906747,179571.95780638378,2,4,3,1,0,192,504,0.000174,1,8,0,31,1
1,1,681466.5108205222,8,4000000,4000000,1,1,205796,697,247,20480,320,681466.5108205222,60015,lane0_d1_r2_prbs,1,0.0028996289159107613,375918,239903,0.0029010929158683053,681466.5108205222,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,711585.9064595865,8,4000000,4000000,1,1,205797,706,247,20480,320,711585.9064595865,59474,lane0_d1_r2_zero,1,0.0027768959194700185,335514,239889,0.0027783599194275625,711585.9064595865,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,709043.5187302667,8,4000000,4000000,1,1,205780,694,247,20480,320,709043.5187302667,59142,lane0_d1_r2_one,1,0.002786852919181265,339064,239889,0.0027883169191388092,709043.5187302667,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,705474.1929993114,8,4000000,4000000,1,1,205825,686,247,20480,320,705474.1929993114,59120,lane0_d1_r2_increment,1,0.0028009529187723653,343818,239935,0.0028024169187299093,705474.1929993114,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,698691.2118381483,8,4000000,4000000,1,1,205802,676,247,20480,320,698691.2118381483,59796,lane0_d1_r2_binary,1,0.0028281449179837974,352229,239909,0.0028296119179412544,698691.2118381483,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,868460.5656610491,8,4000000,4000000,100,1,33039681,21799412,24700,20480,320,868460.5656610491,5929135,lane0_d1_r2_100f,1,0.2275290414016578,36510732,33073783,0.22753050240161543,868460.5656610491,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,871888.1346584471,8,4000000,4000000,10000,1,3316572545,3305332326,2470000,20480,320,871888.1346584471,589788660,lane0_d1_r2_10000f,1,22.66345786175972,3644178435,3316606677,22.66345932875968,871888.1346584471,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
