ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,711896.6198255998,8,4000000,4000000,1,0,205804,717,247,20480,320,711896.6198255998,60200,lane0_d0_r2_zero,1,0.002775683919505166,334379,239897,0.00277714791946271,711896.6198255998,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708727.6643385537,8,4000000,4000000,1,0,205751,690,247,20480,320,708727.6643385537,60247,lane0_d0_r2_one,1,0.0027880949191452474,338587,239852,0.0027895589191027914,708727.6643385537,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,703187.6024413705,8,4000000,4000000,1,0,205763,694,247,20480,320,703187.6024413705,61064,lane0_d0_r2_increment,1,0.0028100609185082335,345054,239864,0.0028115279184656905,703187.6024413705,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,697847.3237605353,8,4000000,4000000,1,0,205780,709,247,20480,320,697847.3237605353,60853,lane0_d0_r2_binary,1,0.0028315649178846172,352309,239898,0.0028330289178421612,697847.3237605353,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,739915.5882543317,8,4000000,4000000,100,0,46275372,30481197,24700,20480,320,739915.5882543317,5890810,lane0_d0_r2_100f,1,0.26705749025533276,36489510,46309506,0.2670589542552903,739915.5882543317,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,740280.3667767884,8,4000000,4000000,10000,0,4653752359,4637958156,2470000,20480,320,740280.3667767884,594171808,lane0_d0_r2_10000f,1,26.6925895739149,3645659451,4653786480,26.69259103791486,740280.3667767884,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
1,1,130979.50867475147,32,1000000,1000000,1,1,171635,693,31,20480,320,130979.50867475147,12736,lane0_d1_r0_fixed_short,1,0.0018934259450906477,71568,256473,0.0018948929450481047,130979.50867475147,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421328.26232033316,32,1000000,1000000,1,1,751605,721,247,20480,320,421328.26232033316,59800,lane0_d1_r0_prbs,1,0.004689929863992034,376300,836458,0.004691393863949578,421328.26232033316,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432541.6807973827,32,1000000,1000000,1,1,751602,688,247,20480,320,432541.6807973827,59961,lane0_d1_r0_zero,1,0.0045683458675179695,335670,836454,0.004569812867475427,432541.6807973827,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432212.1534519336,32,1000000,1000000,1,1,751533,709,247,20480,320,432212.1534519336,59237,lane0_d1_r0_one,1,0.004571828867416963,337627,836377,0.004573298867374333,432212.1534519336,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,429943.0189100945,32,1000000,1000000,1,1,751570,712,247,20480,320,429943.0189100945,60629,lane0_d1_r0_increment,1,0.004595957866717222,344202,836406,0.004597421866674766,429943.0189100945,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,428066.4389647898,32,1000000,1000000,1,1,751534,673,247,20480,320,428066.4389647898,60675,lane0_d1_r0_binary,1,0.00461610586613293,350943,836375,0.004617572866090387,428066.4389647898,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,482712.3944071859,32,1000000,1000000,100,1,93579607,61786840,24700,20480,320,482712.3944071859,5938328,lane0_d1_r0_100f,1,0.409353483128749,36519049,93664468,0.40935495312870634,482712.3944071859,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,483823.90077847155,32,1000000,1000000,10000,1,9376233224,9344423332,2470000,20480,320,483823.90077847155,589683176,lane0_d1_r0_10000f,1,40.84130603760212,3643855341,9376318117,40.84130755260208,483823.90077847155,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156312.54136578078,16,2000000,2000000,1,1,86374,685,31,20480,320,156312.54136578078,12689,lane0_d1_r1_fixed_short,1,0.0015865649539896164,71619,154292,0.0015880289539471604,156312.54136578078,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562703.2700873101,16,2000000,2000000,1,1,393360,680,247,20480,320,562703.2700873101,59293,lane0_d1_r1_prbs,1,0.003511619898163023,376089,444385,0.00351308689812048,562703.2700873101,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582169.0857335286,16,2000000,2000000,1,1,393392,703,247,20480,320,582169.0857335286,60447,lane0_d1_r1_zero,1,0.003394202901568116,335773,444426,0.003395669901525573,582169.0857335286,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,580702.7023551961,16,2000000,2000000,1,1,393365,685,247,20480,320,580702.7023551961,60420,lane0_d1_r1_one,1,0.0034027739013195567,338748,444397,0.0034042349012771878,580702.7023551961,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,577834.5642449083,16,2000000,2000000,1,1,393463,705,247,20480,320,577834.5642449083,59649,lane0_d1_r1_increment,1,0.003419663900829747,345074,444470,0.003421130900787204,577834.5642449083,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574665.5270212027,16,2000000,2000000,1,1,393367,700,247,20480,320,574665.5270212027,60409,lane0_d1_r1_binary,1,0.0034385219002828647,350658,444379,0.0034399829002404957,574665.5270212027,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,644225.6148667915,16,2000000,2000000,100,1,59511883,39266115,24700,20480,320,644225.6148667915,5868038,lane0_d1_r1_100f,1,0.3067248421049796,36481283,59562939,0.30672630910493703,644225.6148667915,1,15,0,100,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,645083.7028806133,16,2000000,2000000,10000,1,5972730001,5952484226,2470000,20480,320,645083.7028806133,590004409,lane0_d1_r1_10000f,1,30.63168378268117,3643863750,5972781032,30.631685249681126,645083.7028806133,1,15,0,10000,0,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179633.2202600191,8,4000000,4000000,1,1,52309,726,31,20480,320,179633.2202600191,12671,lane0_d1_r2_fixed_short,1,0.0013805909599628621,70809,86401,0.0013820549599204061,179633.2202600191,2,4,3,1,0,192,504,0.000174,1,8,0,31,1
1,1,681938.5196909743,8,4000000,4000000,1,1,205760,681,247,20480,320,681938.5196909743,60004,lane0_d1_r2_prbs,1,0.0028976219159689643,375290,239860,0.0028990889159264213,681938.5196909743,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,711655.1013006433,8,4000000,4000000,1,1,205807,719,247,20480,320,711655.1013006433,59858,lane0_d1_r2_zero,1,0.0027766259194778485,335016,239907,0.0027780929194353055,711655.1013006433,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708942.7809657479,8,4000000,4000000,1,1,205760,690,247,20480,320,708942.7809657479,59474,lane0_d1_r2_one,1,0.0027872489191697815,338983,239865,0.0027887129191273255,708942.7809657479,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,704654.5560601538,8,4000000,4000000,1,1,205746,701,247,20480,320,704654.5560601538,59505,lane0_d1_r2_increment,1,0.0028042109186778835,344664,239839,0.0028056779186353405,704654.5560601538,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,699404.9243994975,8,4000000,4000000,1,1,205807,716,247,20480,320,699404.9243994975,59941,lane0_d1_r2_binary,1,0.0028252589180674916,351168,239908,0.0028267229180250356,699404.9243994975,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,740110.6527209448,8,4000000,4000000,100,1,46275452,30481275,24700,20480,320,740110.6527209448,5869885,lane0_d1_r2_100f,1,0.266987104257374,36486905,46309574,0.26698857125733144,740110.6527209448,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,740802.7264713298,8,4000000,4000000,10000,1,4653736311,4637942102,2470000,20480,320,740802.7264713298,589696379,lane0_d1_r2_10000f,1,26.67376791946073,3643876995,4653770409,26.673769383460687,740802.7264713298,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
