sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
461|R0|1|1|0|1|1|1|0|0|0|0|1|0|4090759302|4090759307|0|0|0|0|0|0|0|0|0|0
462|R0|1|1|0|1|1|1|0|0|0|0|1|0|4097389384|4097389389|0|0|0|0|0|0|0|0|0|0
463|R0|1|1|0|1|1|1|0|0|0|0|1|0|4105295174|4105295179|0|0|0|0|0|0|0|0|0|0
464|R0|1|1|0|1|1|1|0|0|0|0|1|0|4113801657|4113801662|0|0|0|0|0|0|0|0|0|0
465|R0|1|1|0|1|1|1|0|0|0|0|1|0|4122439788|4122439793|0|0|0|0|0|0|0|0|0|0
466|R0|1|1|0|1|1|1|0|0|0|0|1|0|4130833748|4130833753|0|0|0|0|0|0|0|0|0|0
467|R0|1|1|0|1|1|1|0|0|0|0|1|0|4140918356|4140918361|0|0|0|0|0|0|0|0|0|0
468|R0|1|1|0|1|1|1|0|0|0|0|1|0|4148383856|4148383861|0|0|0|0|0|0|0|0|0|0
469|R0|1|1|0|1|1|1|0|0|0|0|1|0|4159438114|4159438119|0|0|0|0|0|0|0|0|0|0
470|R0|1|1|0|1|1|1|0|0|0|0|1|0|4169667247|4169667252|0|0|0|0|0|0|0|0|0|0
471|R0|1|1|0|1|1|1|0|0|0|0|1|0|4177473296|4177473301|0|0|0|0|0|0|0|0|0|0
472|R0|1|1|0|1|1|1|0|0|0|0|1|0|4187052920|4187052925|0|0|0|0|0|0|0|0|0|0
473|R0|1|1|0|1|1|1|0|0|0|0|1|0|4195710417|4195710422|0|0|0|0|0|0|0|0|0|0
474|R0|1|1|0|1|1|1|0|0|0|0|1|0|4204294027|4204294032|0|0|0|0|0|0|0|0|0|0
475|R0|1|1|0|1|1|1|0|0|0|0|1|0|4214320194|4214320199|0|0|0|0|0|0|0|0|0|0
476|R0|1|1|0|1|1|1|0|0|0|0|1|0|4224018641|4224018646|0|0|0|0|0|0|0|0|0|0
477|R0|1|1|0|1|1|1|0|0|0|0|1|0|4232062745|4232062750|0|0|0|0|0|0|0|0|0|0
478|R0|1|1|0|1|1|1|0|0|0|0|1|0|4240562696|4240562701|0|0|0|0|0|0|0|0|0|0
479|R0|1|1|0|1|1|1|0|0|0|0|1|0|4249783202|4249783207|0|0|0|0|0|0|0|0|0|0
480|R0|1|1|0|1|1|1|0|0|0|0|1|0|4257460683|4257460688|0|0|0|0|0|0|0|0|0|0
481|R0|1|1|0|1|1|1|0|0|0|0|1|0|4263914120|4263914125|0|0|0|0|0|0|0|0|0|0
482|R0|1|1|0|1|1|1|0|0|0|0|1|0|4272822457|4272822462|0|0|0|0|0|0|0|0|0|0
483|R0|1|1|0|1|1|1|0|0|0|0|1|0|4282457712|4282457717|0|0|0|0|0|0|0|0|0|0
484|R0|1|1|0|1|1|1|0|0|0|0|1|0|4293375144|4293375149|0|0|0|0|0|0|0|0|0|0
485|R0|1|1|0|1|1|1|0|0|0|0|1|0|9302156|9302161|0|0|0|0|0|0|0|0|0|0
486|R0|1|1|0|1|1|1|0|0|0|0|1|0|18399801|18399806|0|0|0|0|0|0|0|0|0|0
487|R0|1|1|0|1|1|1|0|0|0|0|1|0|28172386|28172391|0|0|0|0|0|0|0|0|0|0
488|R0|1|1|0|1|1|1|0|0|0|0|1|0|37263746|37263751|0|0|0|0|0|0|0|0|0|0
489|R0|1|1|0|1|1|1|0|0|0|0|1|0|44533196|44533201|0|0|0|0|0|0|0|0|0|0
490|R0|1|1|0|1|1|1|0|0|0|0|1|0|56628872|56628877|0|0|0|0|0|0|0|0|0|0
491|R0|1|1|0|1|1|1|0|0|0|0|1|0|66758141|66758146|0|0|0|0|0|0|0|0|0|0
492|R0|1|1|0|1|1|1|0|0|0|0|1|0|75451473|75451478|0|0|0|0|0|0|0|0|0|0
493|R0|1|1|0|1|1|1|0|0|0|0|1|0|81860044|81860049|0|0|0|0|0|0|0|0|0|0
494|R0|1|1|0|1|1|1|0|0|0|0|1|0|94784776|94784781|0|0|0|0|0|0|0|0|0|0
495|R0|1|1|0|1|1|1|0|0|0|0|1|0|109772834|109772839|0|0|0|0|0|0|0|0|0|0
496|R0|1|1|0|1|1|1|0|0|0|0|1|0|121061912|121061917|0|0|0|0|0|0|0|0|0|0
497|R0|1|1|0|1|1|1|0|0|0|0|1|0|130937369|130937374|0|0|0|0|0|0|0|0|0|0
498|R0|1|1|0|1|1|1|0|0|0|0|1|0|139495426|139495431|0|0|0|0|0|0|0|0|0|0
499|R0|1|1|0|1|1|1|0|0|0|0|1|0|147709539|147709544|0|0|0|0|0|0|0|0|0|0
500|R0|1|1|0|1|1|1|0|0|0|0|1|0|156922760|156922765|0|0|0|0|0|0|0|0|0|0
501|R0|1|1|0|1|1|1|0|0|0|0|1|0|164934397|164934402|0|0|0|0|0|0|0|0|0|0
502|R0|1|1|0|1|1|1|0|0|0|0|1|0|172621643|172621648|0|0|0|0|0|0|0|0|0|0
503|R0|1|1|0|1|1|1|0|0|0|0|1|0|182439304|182439309|0|0|0|0|0|0|0|0|0|0
