label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path
bringup_identity|1|0|0|0|0|0|257|0|8|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430550103|1785430550237|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_identity.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_identity.rotating.bin
bringup_receive_only_5000ms|11|0|0|0|0|0|257|0|8|0|0|0|15000|2685403137|10|1|0|0|0|0|1024|0|0|0|5000|0|0|NA|1785430550271|1785430555437|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_receive_only_5000ms.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_receive_only_5000ms.rotating.bin
bringup_ring_depth_8|4|0|0|0|0|0|257|0|8|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430555483|1785430555594|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_ring_depth_8.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_ring_depth_8.rotating.bin
bringup_ring_depth_32|4|0|0|0|0|0|257|0|32|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430555651|1785430555810|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_ring_depth_32.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_ring_depth_32.rotating.bin
bringup_dma_reset_idle|5|0|0|0|0|0|257|0|32|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430555862|1785430555993|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_dma_reset_idle.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_dma_reset_idle.rotating.bin
bringup_dma_reset_queued|6|0|0|3|0|2|257|4096|32|1|0|0|30000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430556038|1785430556292|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_dma_reset_queued.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_dma_reset_queued.rotating.bin
bringup_pl_soft_reset|8|0|0|0|0|0|257|0|8|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430556359|1785430556563|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_pl_soft_reset.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_pl_soft_reset.rotating.bin
bringup_identity_after_reset|1|0|0|0|0|0|257|0|8|0|0|0|10000|2685403137|10|1|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430556601|1785430556745|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_identity_after_reset.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/bringup_identity_after_reset.rotating.bin
P10-A_endpoint_shutdown|10|0|0|0|0|0|0|0|8|0|0|0|10000|0|0|0|0|0|0|0|1024|0|0|0|0|0|0|NA|1785430556792|1785430556944|1009|0|0|6|6|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/P10-A_endpoint_shutdown.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_formal_20260730T165436Z_01/stages/p10_a/dumps/P10-A_endpoint_shutdown.rotating.bin
