role|ff_status|effective_tx_enable_mask|physical_tx_counts_before|physical_tx_counts_after
fixed|0x00000180|0x0|279251,278496,278238,278140|279251,278496,278238,278140
rotating|0x00000180|0x0|0,0,0,0|0,0,0,0
