label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path|fixed_p10_1r_dump_path|rotating_p10_1r_dump_path
phy_4mbps_lane0_f2r_1000f|13|0|256|1|0|2|257|247000|32|1|0|0|120000|2701197313|257|1895825664|32|32|0|247000|65536|4|8|0|0|0|0|NA|1785631370916|1785631372690|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_f2r_1000f.rotating.p10_1r.psv
phy_4mbps_lane0_r2f_1000f|13|0|512|1|1|2|257|247000|32|1|0|0|120000|2701197313|257|1895825665|32|32|0|247000|65536|4|8|0|0|0|0|NA|1785631372728|1785631374524|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane0_r2f_1000f.rotating.p10_1r.psv
phy_4mbps_lane1_f2r_1000f|13|0|512|2|0|2|257|247000|32|1|0|0|120000|2701197313|257|1895825920|32|32|0|247000|65536|4|8|0|0|0|0|NA|1785631374565|1785631376371|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_f2r_1000f.rotating.p10_1r.psv
phy_4mbps_lane1_r2f_1000f|13|0|768|2|1|2|257|247000|32|1|0|0|120000|2701197313|257|1895825921|32|32|0|247000|65536|4|8|0|0|0|0|NA|1785631376404|1785631378217|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/phy_4mbps_lane1_r2f_1000f.rotating.p10_1r.psv
P10_1R-PHY_SANITY_endpoint_shutdown|10|0|0|0|0|0|0|0|8|0|0|0|10000|0|0|0|0|0|0|0|1024|0|0|0|0|0|0|NA|1785631378255|1785631378459|1005|0|0|6|6|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/P10_1R-PHY_SANITY_endpoint_shutdown.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/P10_1R-PHY_SANITY_endpoint_shutdown.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/P10_1R-PHY_SANITY_endpoint_shutdown.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T002938Z_e38b0772_7e24b993_0c6533e9/phy_sanity/dumps/P10_1R-PHY_SANITY_endpoint_shutdown.rotating.p10_1r.psv
