role|lane_mask|safe_status_before|accept_before|accept_after|reject_before|reject_after|local_reject_before_csv|local_reject_after_csv|physical_tx_before_csv|physical_tx_after_csv|application_commit_before|application_commit_after
fixed|0xF|0x80000000|0|1|0|0|0,0,0,0|1,1,1,1|0,0,0,0|0,0,0,0|0|0
rotating|0xF|0x80000000|0|1|0|0|0,0,0,0|1,1,1,1|0,0,0,0|0,0,0,0|0|0
