captured_ms|sequence|label|role|snapshot_words_csv
1785611131701|1002|p10_1r_receive_only_5000ms|fixed|4,1378943233,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36864,256,131072,4,3
1785611131701|1002|p10_1r_receive_only_5000ms|rotating|4,1378943233,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36864,256,131072,4,3
