run_id,date,stage,direction,lane_mask,session,bit_sha256,ltx_sha256,xsa_sha256,elf_sha256,CNT_CHIP_MAX,CNT_PREAMBLE,RX_DETECT_WINDOW,RX_DATA_PHASE_DELAY_CYCLES,RX_PREAMBLE_REALIGN_EDGE,IR_LANE_COUNT,IR_B_MODE,IR_PARALLEL_2LANE_MODE,B_SESSION_ID,IR_B_TX_LANE_MASK,IR_B_RX_LANE_MASK,IR_B_ACK_LANE_MASK,IR_B_EXPECTED_A_LANE_MASK,MAX_PACKET_BYTES,FRAGMENT_BYTES,MAX_FRAGS,MAX_FRAME_BYTES,GUARD_CYCLES,B_BACKOFF_SLOT_CYCLES,B_START_IDLE_CYCLES,B_RECOVERY_RESET_CYCLES,B2A_ENABLE,B2A_FREE_RUN,TX_ONLY_ACK_MODE,STREAM_FULL_MODE,MAX_RETRY,FRAG_TIMEOUT_CYCLES,PSPS_PAYLOAD_BYTES,PSPS_TX_ONLY,PSPS_TDM_BIDIR,PSPS_RX_ONLY,PSPS_INTER_PACKET_US,PSPS_STAGE_SECONDS,PSPS_MAX_OUTSTANDING,PSPS_WINDOW_START_GAP_US,PSPS_2LANE_ONLY,PSPS_STAGE_LANE_MASK,PSPS_STAGE_SESSION_ID,PSPS_PAYLOAD_LANE_MASK,PSPS_RX_LANE_MASK,PSPS_POLL_SLEEP_US,IR_TX_POLL_US,uart_mode,uart_payload_bytes,uart_rx_timeout_us,uart_stage_seconds,sent,rx_ok,tx_fail,rx_timeout,rx_bad,rx_mismatch,loss,win_rx_mbps,status,sticky,tx_lane,rx_good,rx_crc,rx_err,phy0,rec,txp,txi,txa,rxb,last_error,raw_a_tx0_edges,raw_a_tx1_edges,raw_a_rx0_edges,raw_a_rx1_edges,raw_b_tx0_edges,raw_b_tx1_edges,raw_b_rx0_edges,raw_b_rx1_edges,raw_a_tx0_high,raw_a_tx1_high,raw_a_rx0_low,raw_a_rx1_low,raw_b_tx0_high,raw_b_tx1_high,raw_b_rx0_low,raw_b_rx1_low,shutdown_ok,uart_log,ila_csv,ila_summary,vivado_config_log,vitis_build_log,summary_path,verdict
lane0_hw_loopback_safe_20260605_011649,2026-06-05 01:16:49,,A_TO_B_ACK_LOOP,,,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_011649.summary.txt,INCONCLUSIVE
lane0_hw_loopback_safe_20260605_101616,2026-06-05 10:16:16,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,roundtrip_loopback,248,500000,20,1452,1452,0,0,0,0,0.0%,0.143,0x00000000,0x00000003,0x00000020,0x00000020,0x00000000,0x00000000,0x800F0F00,,0x00000000,0x00000000,0x0000FFFF,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_101616.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_101616.summary.txt,PASS
lane0_hw_loopback_safe_20260605_102651,2026-06-05 10:26:51,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,25384,25384,0,0,0,0,0.0%,2.504,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_102651.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_102651.summary.txt,PASS
lane0_hw_loopback_safe_20260605_105425,2026-06-05 10:54:25,,A_TO_B_ACK_LOOP,,,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_105425.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_105425.summary.txt,INCONCLUSIVE
lane0_hw_loopback_safe_20260605_105615,2026-06-05 10:56:15,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,3044,0,3044,0,0,0,100.0%,0.000,0x00000011,0x00000088,0x000000FF,0x00000000,0x000000FF,0x00000000,0x54C0FF03,,0x00000001,0x00000000,0x00000000,0x00000000,tx_retry_exhausted,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_105615.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_105615.summary.txt,FAIL
lane0_hw_loopback_safe_20260605_110700,2026-06-05 11:07:00,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,3658,200,3458,0,0,0,94.5%,0.016,0x00000011,0x00000188,0x000000FF,0x000000FF,0x000000FF,0x000000FF,0x54C0FF02,,0x00000001,0x00000000,0x00000000,0x00000000,tx_retry_exhausted,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_110700.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_110700.summary.txt,FAIL
lane0_hw_loopback_safe_20260605_113018,2026-06-05 11:30:18,,A_TO_B_ACK_LOOP,,,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_113018.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_113018.summary.txt,INCONCLUSIVE
lane0_hw_loopback_safe_20260605_113216,2026-06-05 11:32:16,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,27597,27597,0,0,0,0,0.0%,2.722,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_113216.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_113216.summary.txt,PASS
lane0_hw_loopback_safe_20260605_114109,2026-06-05 11:41:09,,A_TO_B_ACK_LOOP,,,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_114109.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_114109.summary.txt,INCONCLUSIVE
lane0_hw_loopback_safe_20260605_114257,2026-06-05 11:42:57,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,28213,28213,0,0,0,0,0.0%,2.783,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_114257.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_114257.summary.txt,PASS
