role|caps|version|role_status|role_error|active|f2r|r2f|local_tx|local_rx|role_epoch|wire_schema|telemetry_schema|diagnostic_status
fixed|1345651231|65537|263|0|15|9|6|9|6|3|891819521|1345389826|0
rotating|1345651231|65537|519|0|15|9|6|6|9|3|891819521|1345389826|0
