direction,status,reason
AB_L0,SKIP_NOT_AUTHORIZED,no valid P4 authorization
BA_L0,SKIP_NOT_AUTHORIZED,no valid P4 authorization
AB_L1,SKIP_NOT_AUTHORIZED,lane1 remains blocked until fresh raw evidence; no valid P4 authorization
BA_L1,SKIP_NOT_AUTHORIZED,lane1 remains blocked until fresh raw evidence; no valid P4 authorization
