role|ff_status|fault_cause|effective_tx_enable_mask|physical_tx_counts_before|physical_tx_counts_after
fixed|0x000001C3|0x00006030|0x0|0,0,0,0|0,0,0,0
rotating|0x000001C3|0x00006030|0x0|0,0,0,0|0,0,0,0
