lane,direction,burst_pulses,status,reason
0,A_TO_B,10,SKIP_NOT_AUTHORIZED,no valid P4 authorization
0,B_TO_A,10,SKIP_NOT_AUTHORIZED,no valid P4 authorization
1,A_TO_B,10,SKIP_NOT_AUTHORIZED,no valid P4 authorization
1,B_TO_A,10,SKIP_NOT_AUTHORIZED,no valid P4 authorization
