ack_frames_good,crc_bad,data_frames_good,direction,frame_bad,label,lane_mask,physical_tx_module_0,physical_tx_module_1,physical_tx_module_2,physical_tx_module_3,preamble_count,raw_rx_module_0,raw_rx_module_1,raw_rx_module_2,raw_rx_module_3,raw_sent,symbol_errors,target
0,0,0,1,0,ba_l1_64,2,0,0,0,64,0,0,64,0,64,64,0,64
0,0,0,1,0,ba_l1_1000,2,0,0,0,1000,0,0,1000,0,1000,1000,0,1000
0,0,0,1,0,ba_l1_4096,2,0,0,0,4096,0,0,4096,0,4096,4096,0,4096
