lane_count,duty_target,sack_batch,outstanding,per,handover_service_gap_us,descriptor_gap_us,phy_raw_capacity_bps,frame_airtime_us,frame_payload_ceiling_bps,rfap_useful_ceiling_bps,duty_limited_capacity_bps,ack_sack_overhead_fraction,handover_overhead_fraction,retry_overhead_fraction,descriptor_gap_overhead_fraction,placeholder_overhead_fraction,window_factor,modeled_application_goodput_bps,required_window_occupancy,latency_p50_estimate_us,latency_p99_estimate_us
1,0.18,1,8,0.0,0.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.0,0.0,0.01,1.0,1909682.242990654,2,1160.0,1218.15
1,0.18,1,8,0.0,0.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.0,0.0009285051067780873,0.01,1.0,1907909.0932757137,2,1160.0,1218.15
1,0.18,1,8,0.0,0.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.0,0.003703703703703704,0.01,1.0,1902609.3457943923,2,1160.0,1218.15
1,0.18,1,8,0.0,30.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.0,0.0,0.01,1.0,1891349.2934579437,2,1175.0,1233.15
1,0.18,1,8,0.0,30.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.0,0.0009285051067780873,0.01,1.0,1889593.1659802666,2,1175.0,1233.15
1,0.18,1,8,0.0,30.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.0,0.003703703703703704,0.01,1.0,1884344.2960747662,2,1175.0,1233.15
1,0.18,1,8,0.0,100.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.0,0.0,0.01,1.0,1848572.411214953,2,1210.0,1268.15
1,0.18,1,8,0.0,100.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.0,0.0009285051067780873,0.01,1.0,1846856.002290891,2,1210.0,1268.15
1,0.18,1,8,0.0,100.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.0,0.003703703703703704,0.01,1.0,1841725.846728972,2,1210.0,1268.15
1,0.18,1,8,0.01,0.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.01,0.0,0.01,1.0,1890585.4205607476,2,1160.0,1218.15
1,0.18,1,8,0.01,0.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.01,0.0009285051067780873,0.01,1.0,1888830.0023429566,2,1160.0,1218.15
1,0.18,1,8,0.01,0.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.01,0.003703703703703704,0.01,1.0,1883583.2523364485,2,1160.0,1218.15
1,0.18,1,8,0.01,30.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.01,0.0,0.01,1.0,1872435.8005233642,2,1175.0,1233.15
1,0.18,1,8,0.01,30.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.01,0.0009285051067780873,0.01,1.0,1870697.234320464,2,1175.0,1233.15
1,0.18,1,8,0.01,30.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.01,0.003703703703703704,0.01,1.0,1865500.8531140187,2,1175.0,1233.15
1,0.18,1,8,0.01,100.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.01,0.0,0.01,1.0,1830086.6871028037,2,1210.0,1268.15
1,0.18,1,8,0.01,100.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.01,0.0009285051067780873,0.01,1.0,1828387.4422679818,2,1210.0,1268.15
1,0.18,1,8,0.01,100.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.01,0.003703703703703704,0.01,1.0,1823308.588261682,2,1210.0,1268.15
1,0.18,1,8,0.03,0.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.03,0.0,0.01,1.0,1852391.7757009347,2,1160.0,1218.15
1,0.18,1,8,0.03,0.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.03,0.0009285051067780873,0.01,1.0,1850671.8204774424,2,1160.0,1218.15
1,0.18,1,8,0.03,0.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0,0.03,0.003703703703703704,0.01,1.0,1845531.0654205608,2,1160.0,1218.15
1,0.18,1,8,0.03,30.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.03,0.0,0.01,1.0,1834608.8146542055,2,1175.0,1233.15
1,0.18,1,8,0.03,30.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.03,0.0009285051067780873,0.01,1.0,1832905.371000859,2,1175.0,1233.15
1,0.18,1,8,0.03,30.0,2.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.0096,0.03,0.003703703703703704,0.01,1.0,1827813.9671925232,2,1175.0,1233.15
1,0.18,1,8,0.03,100.0,0.0,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.03,0.0,0.01,1.0,1793115.2388785046,2,1210.0,1268.15
1,0.18,1,8,0.03,100.0,0.5,4000000.0,538.0,3672862.4535315987,3197026.022304833,2301858.7360594794,0.16199376947040497,0.032,0.03,0.0009285051067780873,0.01,1.0,1791450.3222221641,2,1210.0,1268.15
