role|ff_status|fault_cause|effective_tx_enable_mask|physical_tx_counts_before|physical_tx_counts_after
fixed|0x000003C3|0x00006030|0x0|475367,477695,473103,475323|475367,477695,473103,475323
rotating|0x000003C3|0x00006030|0x0|0,0,0,0|0,0,0,0
