m0,direction,lane,current,candidate,candidate_bank,candidate_slot
0,2,0,0,1,0,1
0,2,1,4,5,1,1
0,2,2,8,9,2,1
0,2,3,12,13,3,1
0,2,4,16,17,4,1
0,2,5,20,21,5,1
0,2,6,24,25,6,1
0,2,7,28,29,7,1
0,3,0,0,31,7,3
0,3,1,4,3,0,3
0,3,2,8,7,1,3
0,3,3,12,11,2,3
0,3,4,16,15,3,3
0,3,5,20,19,4,3
0,3,6,24,23,5,3
0,3,7,28,27,6,3
1,2,0,1,2,0,2
1,2,1,5,6,1,2
1,2,2,9,10,2,2
1,2,3,13,14,3,2
1,2,4,17,18,4,2
1,2,5,21,22,5,2
1,2,6,25,26,6,2
1,2,7,29,30,7,2
1,3,0,1,0,0,0
1,3,1,5,4,1,0
1,3,2,9,8,2,0
1,3,3,13,12,3,0
1,3,4,17,16,4,0
1,3,5,21,20,5,0
1,3,6,25,24,6,0
1,3,7,29,28,7,0
2,2,0,2,3,0,3
2,2,1,6,7,1,3
2,2,2,10,11,2,3
2,2,3,14,15,3,3
2,2,4,18,19,4,3
2,2,5,22,23,5,3
2,2,6,26,27,6,3
2,2,7,30,31,7,3
2,3,0,2,1,0,1
2,3,1,6,5,1,1
2,3,2,10,9,2,1
2,3,3,14,13,3,1
2,3,4,18,17,4,1
2,3,5,22,21,5,1
2,3,6,26,25,6,1
2,3,7,30,29,7,1
3,2,0,3,4,1,0
3,2,1,7,8,2,0
3,2,2,11,12,3,0
3,2,3,15,16,4,0
3,2,4,19,20,5,0
3,2,5,23,24,6,0
3,2,6,27,28,7,0
3,2,7,31,0,0,0
3,3,0,3,2,0,2
3,3,1,7,6,1,2
3,3,2,11,10,2,2
3,3,3,15,14,3,2
3,3,4,19,18,4,2
3,3,5,23,22,5,2
3,3,6,27,26,6,2
3,3,7,31,30,7,2
4,2,0,4,5,1,1
4,2,1,8,9,2,1
4,2,2,12,13,3,1
4,2,3,16,17,4,1
4,2,4,20,21,5,1
4,2,5,24,25,6,1
4,2,6,28,29,7,1
4,2,7,0,1,0,1
4,3,0,4,3,0,3
4,3,1,8,7,1,3
4,3,2,12,11,2,3
4,3,3,16,15,3,3
4,3,4,20,19,4,3
4,3,5,24,23,5,3
4,3,6,28,27,6,3
4,3,7,0,31,7,3
5,2,0,5,6,1,2
5,2,1,9,10,2,2
5,2,2,13,14,3,2
5,2,3,17,18,4,2
5,2,4,21,22,5,2
5,2,5,25,26,6,2
5,2,6,29,30,7,2
5,2,7,1,2,0,2
5,3,0,5,4,1,0
5,3,1,9,8,2,0
5,3,2,13,12,3,0
5,3,3,17,16,4,0
5,3,4,21,20,5,0
5,3,5,25,24,6,0
5,3,6,29,28,7,0
5,3,7,1,0,0,0
6,2,0,6,7,1,3
6,2,1,10,11,2,3
6,2,2,14,15,3,3
6,2,3,18,19,4,3
6,2,4,22,23,5,3
6,2,5,26,27,6,3
6,2,6,30,31,7,3
6,2,7,2,3,0,3
6,3,0,6,5,1,1
6,3,1,10,9,2,1
6,3,2,14,13,3,1
6,3,3,18,17,4,1
6,3,4,22,21,5,1
6,3,5,26,25,6,1
6,3,6,30,29,7,1
6,3,7,2,1,0,1
7,2,0,7,8,2,0
7,2,1,11,12,3,0
7,2,2,15,16,4,0
7,2,3,19,20,5,0
7,2,4,23,24,6,0
7,2,5,27,28,7,0
7,2,6,31,0,0,0
7,2,7,3,4,1,0
7,3,0,7,6,1,2
7,3,1,11,10,2,2
7,3,2,15,14,3,2
7,3,3,19,18,4,2
7,3,4,23,22,5,2
7,3,5,27,26,6,2
7,3,6,31,30,7,2
7,3,7,3,2,0,2
8,2,0,8,9,2,1
8,2,1,12,13,3,1
8,2,2,16,17,4,1
8,2,3,20,21,5,1
8,2,4,24,25,6,1
8,2,5,28,29,7,1
8,2,6,0,1,0,1
8,2,7,4,5,1,1
8,3,0,8,7,1,3
8,3,1,12,11,2,3
8,3,2,16,15,3,3
8,3,3,20,19,4,3
8,3,4,24,23,5,3
8,3,5,28,27,6,3
8,3,6,0,31,7,3
8,3,7,4,3,0,3
9,2,0,9,10,2,2
9,2,1,13,14,3,2
9,2,2,17,18,4,2
9,2,3,21,22,5,2
9,2,4,25,26,6,2
9,2,5,29,30,7,2
9,2,6,1,2,0,2
9,2,7,5,6,1,2
9,3,0,9,8,2,0
9,3,1,13,12,3,0
9,3,2,17,16,4,0
9,3,3,21,20,5,0
9,3,4,25,24,6,0
9,3,5,29,28,7,0
9,3,6,1,0,0,0
9,3,7,5,4,1,0
10,2,0,10,11,2,3
10,2,1,14,15,3,3
10,2,2,18,19,4,3
10,2,3,22,23,5,3
10,2,4,26,27,6,3
10,2,5,30,31,7,3
10,2,6,2,3,0,3
10,2,7,6,7,1,3
10,3,0,10,9,2,1
10,3,1,14,13,3,1
10,3,2,18,17,4,1
10,3,3,22,21,5,1
10,3,4,26,25,6,1
10,3,5,30,29,7,1
10,3,6,2,1,0,1
10,3,7,6,5,1,1
11,2,0,11,12,3,0
11,2,1,15,16,4,0
11,2,2,19,20,5,0
11,2,3,23,24,6,0
11,2,4,27,28,7,0
11,2,5,31,0,0,0
11,2,6,3,4,1,0
11,2,7,7,8,2,0
11,3,0,11,10,2,2
11,3,1,15,14,3,2
11,3,2,19,18,4,2
11,3,3,23,22,5,2
11,3,4,27,26,6,2
11,3,5,31,30,7,2
11,3,6,3,2,0,2
11,3,7,7,6,1,2
12,2,0,12,13,3,1
12,2,1,16,17,4,1
12,2,2,20,21,5,1
12,2,3,24,25,6,1
12,2,4,28,29,7,1
12,2,5,0,1,0,1
12,2,6,4,5,1,1
12,2,7,8,9,2,1
12,3,0,12,11,2,3
12,3,1,16,15,3,3
12,3,2,20,19,4,3
12,3,3,24,23,5,3
12,3,4,28,27,6,3
12,3,5,0,31,7,3
12,3,6,4,3,0,3
12,3,7,8,7,1,3
13,2,0,13,14,3,2
13,2,1,17,18,4,2
13,2,2,21,22,5,2
13,2,3,25,26,6,2
13,2,4,29,30,7,2
13,2,5,1,2,0,2
13,2,6,5,6,1,2
13,2,7,9,10,2,2
13,3,0,13,12,3,0
13,3,1,17,16,4,0
13,3,2,21,20,5,0
13,3,3,25,24,6,0
13,3,4,29,28,7,0
13,3,5,1,0,0,0
13,3,6,5,4,1,0
13,3,7,9,8,2,0
14,2,0,14,15,3,3
14,2,1,18,19,4,3
14,2,2,22,23,5,3
14,2,3,26,27,6,3
14,2,4,30,31,7,3
14,2,5,2,3,0,3
14,2,6,6,7,1,3
14,2,7,10,11,2,3
14,3,0,14,13,3,1
14,3,1,18,17,4,1
14,3,2,22,21,5,1
14,3,3,26,25,6,1
14,3,4,30,29,7,1
14,3,5,2,1,0,1
14,3,6,6,5,1,1
14,3,7,10,9,2,1
15,2,0,15,16,4,0
15,2,1,19,20,5,0
15,2,2,23,24,6,0
15,2,3,27,28,7,0
15,2,4,31,0,0,0
15,2,5,3,4,1,0
15,2,6,7,8,2,0
15,2,7,11,12,3,0
15,3,0,15,14,3,2
15,3,1,19,18,4,2
15,3,2,23,22,5,2
15,3,3,27,26,6,2
15,3,4,31,30,7,2
15,3,5,3,2,0,2
15,3,6,7,6,1,2
15,3,7,11,10,2,2
16,2,0,16,17,4,1
16,2,1,20,21,5,1
16,2,2,24,25,6,1
16,2,3,28,29,7,1
16,2,4,0,1,0,1
16,2,5,4,5,1,1
16,2,6,8,9,2,1
16,2,7,12,13,3,1
16,3,0,16,15,3,3
16,3,1,20,19,4,3
16,3,2,24,23,5,3
16,3,3,28,27,6,3
16,3,4,0,31,7,3
16,3,5,4,3,0,3
16,3,6,8,7,1,3
16,3,7,12,11,2,3
17,2,0,17,18,4,2
17,2,1,21,22,5,2
17,2,2,25,26,6,2
17,2,3,29,30,7,2
17,2,4,1,2,0,2
17,2,5,5,6,1,2
17,2,6,9,10,2,2
17,2,7,13,14,3,2
17,3,0,17,16,4,0
17,3,1,21,20,5,0
17,3,2,25,24,6,0
17,3,3,29,28,7,0
17,3,4,1,0,0,0
17,3,5,5,4,1,0
17,3,6,9,8,2,0
17,3,7,13,12,3,0
18,2,0,18,19,4,3
18,2,1,22,23,5,3
18,2,2,26,27,6,3
18,2,3,30,31,7,3
18,2,4,2,3,0,3
18,2,5,6,7,1,3
18,2,6,10,11,2,3
18,2,7,14,15,3,3
18,3,0,18,17,4,1
18,3,1,22,21,5,1
18,3,2,26,25,6,1
18,3,3,30,29,7,1
18,3,4,2,1,0,1
18,3,5,6,5,1,1
18,3,6,10,9,2,1
18,3,7,14,13,3,1
19,2,0,19,20,5,0
19,2,1,23,24,6,0
19,2,2,27,28,7,0
19,2,3,31,0,0,0
19,2,4,3,4,1,0
19,2,5,7,8,2,0
19,2,6,11,12,3,0
19,2,7,15,16,4,0
19,3,0,19,18,4,2
19,3,1,23,22,5,2
19,3,2,27,26,6,2
19,3,3,31,30,7,2
19,3,4,3,2,0,2
19,3,5,7,6,1,2
19,3,6,11,10,2,2
19,3,7,15,14,3,2
20,2,0,20,21,5,1
20,2,1,24,25,6,1
20,2,2,28,29,7,1
20,2,3,0,1,0,1
20,2,4,4,5,1,1
20,2,5,8,9,2,1
20,2,6,12,13,3,1
20,2,7,16,17,4,1
20,3,0,20,19,4,3
20,3,1,24,23,5,3
20,3,2,28,27,6,3
20,3,3,0,31,7,3
20,3,4,4,3,0,3
20,3,5,8,7,1,3
20,3,6,12,11,2,3
20,3,7,16,15,3,3
21,2,0,21,22,5,2
21,2,1,25,26,6,2
21,2,2,29,30,7,2
21,2,3,1,2,0,2
21,2,4,5,6,1,2
21,2,5,9,10,2,2
21,2,6,13,14,3,2
21,2,7,17,18,4,2
