path,status,sha256
TFDU_VFIR_Client_Array/design_shiboqi_wrapper.bit,PRESENT,42458B3B1DC81D090B703DEB937EE00412F5C7A39DBE6DE40B8B75AB1D33284D
TFDU_VFIR_Client_Array/design_shiboqi_wrapper.xsa,PRESENT,AE674988CDC4662E63B85320EC48D629609138D42D0ED97A79A18F16FEF3228B
software/_vitis_ws/rf_comm_ps_bridge/Debug/rf_comm_ps_bridge.elf,PRESENT,0BC5F1C1CAF19CA9B6E8E037D95AB202218290C9C29FE82EE05F45ED30E38D79
software/_vitis_ws_ps_ps_loopback/rf_comm_ps_ps_loopback/Debug/rf_comm_ps_ps_loopback.elf,PRESENT,76B335E06C611B50FAC8B4818CEBEC44CC8F390345C93D1F2D11E4D6F56C0392
software/ps_lwip_bridge/src/main.c,PRESENT,0D44475D029A46D52F13E949A20B38EAA89FB320050BB397930D26C2C54FB358
software/ps_lwip_bridge/src/tcp_bridge.c,PRESENT,8E6A28A6C86FBD578FD268BA17EEB0758D074EE4549F46863468E5DD1ABF6FE8
software/ps_lwip_bridge/src/rf_protocol.h,PRESENT,0D3F13AF4A99A4D99A46EC5184C112DED4032EE88035B7C0FA4B319660B831C0
software/host_client/rf_comm_client.py,PRESENT,1A8C73E3192E25C87B94C155AAA7A961C6D30BFAC626C3B624E3E4101059C3EE
software/host_client/analyze_acceptance_log.py,PRESENT,A5F3E4506EAC77B49F540B0D25C353C2EDD97CA9DDABDAE773969532A1F53B05
software/host_client/mock_rfcm_server.py,PRESENT,96100D8B6F46DA7A3C363A90BC25A0FAB7BFF4D4C8FBEDDF0C1BB1EEA4564CC4
software/host_client/test_rf_comm_client.py,PRESENT,568BA680A81C3615B0D85DFD42B1F8B36B5E0C0762120A538B62B3B709EDB9BD
software/host_client/run_acceptance.ps1,PRESENT,EE9974E2D10FFA89B85C35ACF164C1B7D4602BDF884C34A629AD63021C961642
tools/build_n03_network_first_package.py,PRESENT,EB2770EAEAEB74114B6B608114F690619822B92A6F11EF83BE832B521C7CECE6
tools/build_no_ethernet_network_boundary_evidence.py,PRESENT,30F8248784A337054F1C47B3C18DDBBBD51ED2B3B542A8E6E95E6BCCF5A396F7
tools/run_n03_offline_payload_matrix.py,PRESENT,020B6B5CD118C356C92B7002946A8F0E4D2D18DFA92A6F85182ACB8E84A23B91
tools/run_n03_offline_reconnect_matrix.py,PRESENT,073C8CE0227743546ECC25096BA31AD36EC413473F9ECCD6ADC9378DC6F30321
tools/check_external_preconditions.py,PRESENT,5C93E8D21104F7B75E6D7D4EE6C5CAB803BBA5D8347E6531F86B786248BD7C65
tools/build_real_acceptance_runbook.py,PRESENT,65DFF0755F910DD021890B8CC034253B9EFD018D8DBAC138292C4EABF234883B
tools/check_n03_pc_hosted_dhcp_preflight.ps1,PRESENT,ADD1D58C70A9377922418AE4563C7A7A6BC52F16873508F9A6DCDAC849409A6D
tools/audit_n03_network_first_readiness.py,PRESENT,8ED7FCCADDCF01A983EC21F850A4C177493C61750E3820CBBD68C761C0C22295
tools/run_n03_current_state_gate.ps1,PRESENT,6D76CE6D0002791F9B207625B502BCA1EF25B30F2A190804DB7D7A453E85CE41
tools/probe_ps_uart_boot_safe.ps1,PRESENT,E9FD3B76A927E6434B17A12BBB9DB71F38906162E55B7EB66B35ACCB1D27EC42
tools/apply_n03_static_direct_network_admin.ps1,PRESENT,EC0B3405199096AD9F6DAB41D3804192A4718E242C6E260D517D3C82D5892687
tools/setup_n03_static_direct_network_safe.ps1,PRESENT,BC28331470A6BA85A5DE10F22745DAF4E0F22E3181FB02720B981554A510C670
tools/run_n03_network_first_acceptance_safe.ps1,PRESENT,E63B6FC483C7DA0E303BB051A0664293A732C80ACD77F1E4E4829D82DFE41C2B
tools/run_ps_pc_offline_gates.ps1,PRESENT,A9A46AFE95AC8E603B6D70931FE5A69C4FB6D62FC510E94F0378935E2CB2136F
