direction,lane,source_endpoint,destination_endpoint,status,tx_requested_count,tx_observed_count,rx_active_low_pulse_count,rx_falling_edge_count,txd_high_max_cycles,txd_high_total_cycles
AB_L0,0,A,B,PASS,64,64,64,64,8,512
BA_L0,0,B,A,PASS,64,64,64,64,8,512
AB_L1,1,A,B,PASS,64,64,64,64,8,512
BA_L1,1,B,A,PASS,64,64,64,64,8,512
