Sample in Buffer,Sample in Window,TRIGGER,p4_auto_status_words_flat[767:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,1,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
1,1,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
2,2,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
3,3,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
4,4,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
5,5,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
6,6,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
7,7,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
8,8,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
9,9,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
10,10,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
11,11,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
12,12,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
13,13,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
14,14,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
15,15,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
16,16,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
17,17,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
18,18,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
19,19,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
20,20,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
21,21,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
22,22,0,4c30415264800008000000000064006422010101000000000000006400640064003b600000000000000000000000db0000000008000148a900004c90000048a800000005000000050000000f000000000000000a0000000f0004000150344144
