label|command|expected_status|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|observed_status|observed_state|sequence|dump_path
ba_l1_64|2|0|2|1|0|257|0|8|0|0|0|30000|1|1|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785120648106|1785120648827|0|4|1001|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260727T023914Z_dd4a47863ec4_13542c8fa85d/20260727T025012Z_p9_12/raw_lane_matrix/p9_12/mailbox/ba_l1_64.bin
ba_l1_1000|2|0|2|1|0|257|0|8|0|0|0|30000|1|1|1|0|0|0|1000|1024|0|0|0|0|0|0|NA|1785120648836|1785120649603|0|4|1002|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260727T023914Z_dd4a47863ec4_13542c8fa85d/20260727T025012Z_p9_12/raw_lane_matrix/p9_12/mailbox/ba_l1_1000.bin
ba_l1_4096|2|0|2|1|0|257|0|8|0|0|0|30000|1|1|1|0|0|0|4096|1024|0|0|0|0|0|0|NA|1785120649618|1785120650416|0|4|1003|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260727T023914Z_dd4a47863ec4_13542c8fa85d/20260727T025012Z_p9_12/raw_lane_matrix/p9_12/mailbox/ba_l1_4096.bin
P9-12_endpoint_shutdown|10|0|0|0|0|0|0|8|0|0|0|10000|0|0|0|0|0|0|0|1024|0|0|0|0|0|0|NA|1785120650425|1785120651138|0|6|1004|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260727T023914Z_dd4a47863ec4_13542c8fa85d/20260727T025012Z_p9_12/raw_lane_matrix/p9_12/mailbox/P9-12_endpoint_shutdown.bin
