COMMAND=D:\Xilinx\Vivado\2023.1\bin\xsim.bat tb_ir_p8d_python_crosscheck_snapshot -runall
RETURN_CODE=0
STARTED_UTC=2026-07-18T08:42:15.801685Z
FINISHED_UTC=2026-07-18T08:42:18.582964Z
STDOUT_BEGIN

****** xsim v2023.1 (64-bit)
  **** SW Build 3865809 on Sun May  7 15:05:29 MDT 2023
  **** IP Build 3864474 on Sun May  7 20:36:21 MDT 2023
  **** SharedData Build 3865790 on Sun May 07 13:33:03 MDT 2023
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2023 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/tb_ir_p8d_python_crosscheck_snapshot/xsim_script.tcl
# xsim {tb_ir_p8d_python_crosscheck_snapshot} -autoloadwcfg -runall
Time resolution is 1 ps
run -all
P8D_XCHECK,0,10203040,fff0,7,0,1,fff0,0000000000000001,0,0,4
P8D_XCHECK,1,10203040,fff1,7,5,2,fff0,0000000000000002,1,1,0
P8D_XCHECK,2,10203040,fff2,7,2,3,fff0,0000000000000004,2,1,0
P8D_XCHECK,3,10203040,fff3,7,7,4,fff0,0000000000000008,3,0,0
P8D_XCHECK,4,10203040,fff4,7,4,5,fff4,0000000000000001,4,1,0
P8D_XCHECK,5,10203040,fff5,7,1,6,fff4,0000000000000002,5,1,0
P8D_XCHECK,6,10203040,fff6,7,6,7,fff4,0000000000000004,6,0,0
P8D_XCHECK,7,10203040,fff7,7,3,8,fff4,0000000000000008,7,1,0
P8D_XCHECK,8,10203040,fff8,7,1,1,fff8,0000000000000001,8,1,0
P8D_XCHECK,9,10203040,fff9,7,6,2,fff8,0000000000000002,9,0,0
P8D_XCHECK,10,10203040,fffa,7,3,3,fff8,0000000000000004,10,1,0
P8D_XCHECK,11,10203040,fffb,7,0,4,fff8,0000000000000008,11,1,0
P8D_XCHECK,12,10203040,fffc,7,5,5,fffc,0000000000000001,12,0,0
P8D_XCHECK,13,10203040,fffd,7,2,6,fffc,0000000000000002,13,1,0
P8D_XCHECK,14,10203040,fffe,7,7,7,fffc,0000000000000004,14,1,0
P8D_XCHECK,15,10203040,ffff,7,4,8,fffc,0000000000000008,15,0,0
P8D_XCHECK,16,10203040,0000,7,2,1,0000,0000000000000001,16,1,0
P8D_XCHECK,17,10203040,0001,7,7,2,0000,0000000000000002,17,1,4
P8D_XCHECK,18,10203040,0002,7,4,3,0000,0000000000000004,18,0,0
P8D_XCHECK,19,10203040,0003,7,1,4,0000,0000000000000008,19,1,0
P8D_XCHECK,20,10203040,0004,7,6,5,0004,0000000000000001,20,1,0
P8D_XCHECK,21,10203040,0005,7,3,6,0004,0000000000000002,21,0,0
