case,type,source_stage,source_evidence,expected_lane_mask,actual_lane_mask,expected_ack_lane_mask,actual_ack_lane_mask,expected_session,actual_session,bounded,tx_retry_exhausted,tx_fail,shutdown_status,status,reason
lane0-only,positive,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,0x1,0x1,0x1,0x1,0x2201,0x2201,True,0,0,PASS,PASS,fresh P5 readback matches expected mask/session
lane1-only,positive,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,0x2,0x2,0x2,0x2,0x2201,0x2201,True,0,0,PASS,PASS,fresh P5 readback matches expected mask/session
two-lane,positive,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,0x3,0x3,0x3,0x3,0x2201,0x2201,True,0,0,PASS,PASS,fresh P5 readback matches expected mask/session
lane0-expected-two-lane,negative,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,0x3,0x1,0x1,0x1,0x2201,0x2201,True,0,0,PASS,REJECTED_AS_EXPECTED,offline validator rejected mismatched expectation against fresh dynamic hardware readback
lane1-expected-two-lane,negative,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,0x3,0x2,0x2,0x2,0x2201,0x2201,True,0,0,PASS,REJECTED_AS_EXPECTED,offline validator rejected mismatched expectation against fresh dynamic hardware readback
session-mismatch,negative,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,0x3,0x3,0x3,0x3,0x2202,0x2201,True,0,0,PASS,REJECTED_AS_EXPECTED,offline validator rejected mismatched expectation against fresh dynamic hardware readback
ack-lane-mask-mismatch,negative,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,0x1,0x1,0x3,0x1,0x2201,0x2201,True,0,0,PASS,REJECTED_AS_EXPECTED,offline validator rejected mismatched expectation against fresh dynamic hardware readback
