role|ff_status|effective_tx_enable_mask|physical_tx_counts_before|physical_tx_counts_after
fixed|0x00000180|0x0|3204,0,0,0|3204,0,0,0
rotating|0x00000180|0x0|0,0,0,0|0,0,0,0
